condition,scene_id,method,pixels,proxy_positive_pixels,exact_zero_proxy_pixels,proxy_positive_called_pass,proxy_positive_flagged,proxy_positive_unknown,exact_zero_proxy_called_pass,exact_zero_proxy_flagged,unknown_pixels,pass_pixels,flag_pixels,scope_positive_pass_fraction,zero_proxy_pass_fraction,unknown_fraction,bounded_inference_seconds,evidence_type,assumed_physical_contamination_in_stress
optically_invisible_residue,1,single_frequency_modulation,1024,0,1024,0,0,0,1024,0,0,1024,0,,1.0,0.0,,SYNTHETIC,True
optically_invisible_residue,1,multi_frequency_point_estimate,1024,0,1024,0,0,0,1024,0,0,1024,0,,1.0,0.0,,SYNTHETIC,True
optically_invisible_residue,1,bounded_interval,1024,0,1024,0,0,0,1024,0,0,1024,0,,1.0,0.0,0.0008940180000536202,SYNTHETIC,True
optically_invisible_residue,2,uniform_DC,1024,0,1024,0,0,0,1014,10,0,1014,10,,0.990234375,0.0,,SYNTHETIC,True
optically_invisible_residue,2,single_frequency_modulation,1024,0,1024,0,0,0,1024,0,0,1024,0,,1.0,0.0,,SYNTHETIC,True
optically_invisible_residue,2,multi_frequency_point_estimate,1024,0,1024,0,0,0,1024,0,0,1024,0,,1.0,0.0,,SYNTHETIC,True
optically_invisible_residue,2,bounded_interval,1024,0,1024,0,0,0,1024,0,0,1024,0,,1.0,0.0,0.0010416809999469478,SYNTHETIC,True
optically_invisible_residue,3,uniform_DC,1024,0,1024,0,0,0,1009,15,0,1009,15,,0.9853515625,0.0,,SYNTHETIC,True
optically_invisible_residue,3,single_frequency_modulation,1024,0,1024,0,0,0,1024,0,0,1024,0,,1.0,0.0,,SYNTHETIC,True
optically_invisible_residue,3,multi_frequency_point_estimate,1024,0,1024,0,0,0,1024,0,0,1024,0,,1.0,0.0,,SYNTHETIC,True
optically_invisible_residue,3,bounded_interval,1024,0,1024,0,0,0,1024,0,0,1024,0,,1.0,0.0,0.0013628259999904913,SYNTHETIC,True
scratch_like_response,0,uniform_DC,1024,1024,0,1017,7,0,0,0,0,1017,7,0.9931640625,,0.0,,SYNTHETIC,False
scratch_like_response,0,single_frequency_modulation,1024,1024,0,0,1024,0,0,0,0,0,1024,0.0,,0.0,,SYNTHETIC,False
scratch_like_response,0,multi_frequency_point_estimate,1024,1024,0,0,1024,0,0,0,0,0,1024,0.0,,0.0,,SYNTHETIC,False
scratch_like_response,0,bounded_interval,1024,1024,0,0,1024,0,0,0,0,0,1024,0.0,,0.0,0.0010869500000580956,SYNTHETIC,False
scratch_like_response,1,uniform_DC,1024,1024,0,1022,2,0,0,0,0,1022,2,0.998046875,,0.0,,SYNTHETIC,False
scratch_like_response,1,single_frequency_modulation,1024,1024,0,0,1024,0,0,0,0,0,1024,0.0,,0.0,,SYNTHETIC,False
scratch_like_response,1,multi_frequency_point_estimate,1024,1024,0,0,1024,0,0,0,0,0,1024,0.0,,0.0,,SYNTHETIC,False
scratch_like_response,1,bounded_interval,1024,1024,0,0,1024,0,0,0,0,0,1024,0.0,,0.0,0.0009972840000500582,SYNTHETIC,False
scratch_like_response,2,uniform_DC,1024,1024,0,1015,9,0,0,0,0,1015,9,0.9912109375,,0.0,,SYNTHETIC,False
scratch_like_response,2,single_frequency_modulation,1024,1024,0,0,1024,0,0,0,0,0,1024,0.0,,0.0,,SYNTHETIC,False
scratch_like_response,2,multi_frequency_point_estimate,1024,1024,0,0,1024,0,0,0,0,0,1024,0.0,,0.0,,SYNTHETIC,False
scratch_like_response,2,bounded_interval,1024,1024,0,0,1024,0,0,0,0,0,1024,0.0,,0.0,0.001567944999919746,SYNTHETIC,False
scratch_like_response,3,uniform_DC,1024,1024,0,1010,14,0,0,0,0,1010,14,0.986328125,,0.0,,SYNTHETIC,False
scratch_like_response,3,single_frequency_modulation,1024,1024,0,0,1024,0,0,0,0,0,1024,0.0,,0.0,,SYNTHETIC,False
scratch_like_response,3,multi_frequency_point_estimate,1024,1024,0,0,1024,0,0,0,0,0,1024,0.0,,0.0,,SYNTHETIC,False
scratch_like_response,3,bounded_interval,1024,1024,0,0,1024,0,0,0,0,0,1024,0.0,,0.0,0.001072097000019312,SYNTHETIC,False
phase_motion,0,uniform_DC,1024,0,1024,0,0,0,58,966,0,58,966,,0.056640625,0.0,,SYNTHETIC,False
phase_motion,0,single_frequency_modulation,1024,0,1024,0,0,0,959,65,0,959,65,,0.9365234375,0.0,,SYNTHETIC,False
phase_motion,0,multi_frequency_point_estimate,1024,0,1024,0,0,0,1024,0,0,1024,0,,1.0,0.0,,SYNTHETIC,False
phase_motion,0,bounded_interval,1024,0,1024,0,0,0,0,0,1024,0,0,,0.0,1.0,0.0011555820000239692,SYNTHETIC,False
phase_motion,1,uniform_DC,1024,0,1024,0,0,0,60,964,0,60,964,,0.05859375,0.0,,SYNTHETIC,False
phase_motion,1,single_frequency_modulation,1024,0,1024,0,0,0,1000,24,0,1000,24,,0.9765625,0.0,,SYNTHETIC,False
phase_motion,1,multi_frequency_point_estimate,1024,0,1024,0,0,0,1024,0,0,1024,0,,1.0,0.0,,SYNTHETIC,False
phase_motion,1,bounded_interval,1024,0,1024,0,0,0,0,0,1024,0,0,,0.0,1.0,0.0011305460000130552,SYNTHETIC,False
phase_motion,2,uniform_DC,1024,0,1024,0,0,0,41,983,0,41,983,,0.0400390625,0.0,,SYNTHETIC,False
phase_motion,2,single_frequency_modulation,1024,0,1024,0,0,0,1024,0,0,1024,0,,1.0,0.0,,SYNTHETIC,False
phase_motion,2,multi_frequency_point_estimate,1024,0,1024,0,0,0,1024,0,0,1024,0,,1.0,0.0,,SYNTHETIC,False
